Japanese sentence,Romaji,Meaning,section,chapter
フォロー中,foroochuu,following,11,4
フォロワー,forowaa,follower,11,4
募集中,boshuuchuu,looking for ～,11,4
あおぞら,aozora,blue skies,12,1
1月,ichi-gatsu,January,12,1
5日,itsuka,5th (day of the month),12,1
イベント,ibento,event,12,1
映画上映会,eega-jooeekai,film screening,12,1
～円,～en,～ yen,12,1
縁日,ennichi,festival day,12,1
お問い合わせ,otoiawase ,inquiries,12,1
会場,kaijoo,venue,12,1
9月,ku-gatsu,September,12,1
交流,kooryuu,exchange,12,1
5月,go-gatsu,May,12,1
9日,kokonoka,9th (day of the month),12,1
3月,san-gatsu,March,12,1
31日,sanjuu-ichi-nichi,31st (day of the month),12,1
30日,sanjuu-nichi,30th (day of the month),12,1
4月,shi-gatsu,April,12,1
7月,shichi-gatsu,July,12,1
11月,juu-ichi-gatsu,November,12,1
11日,juu-ichi-nichi,11th (day of the month),12,1
10月,juu-gatsu,October,12,1
19日,juu-ku-nichi,19th (day of the month),12,1
15日,juu-go-nichi,15th (day of the month),12,1
13日,juu-san-nichi,13th (day of the month),12,1
17日,juu-shichi-nichi,17th (day of the month),12,1
12月,juu-ni-gatsu,December,12,1
12日,juu-ni-nichi,12th (day of the month),12,1
18日,juu-hachi-nichi,18th (day of the month),12,1
14日,juu-yokka,14th (day of the month),12,1
16日,juu-roku-nichi,16th (day of the month),12,1
上映作品,jooee-sakuhin,film shown,12,1
ステージ,suteeji,performance,12,1
楽しもう！,tanoshimoo!,Let's enjoy ～.,12,1
食べ物,tabemono,food,12,1
駐車場,chuushajoo,parking lot,12,1
1日,tsuitachi,1st (day of the month),12,1
問い合わせ先,toiawasesaki,contact details (for inquiries),12,1
10日,tooka,10th (day of the month),12,1
夏祭り,natsu-matsuri,summer festival,12,1
7日,nanoka,7th (day of the month),12,1
何月,nan-gatsu,which month,12,1
何日,nan-nichi,which day of the month,12,1
2月,ni-gatsu,February,12,1
21日,nijuu-ichi-nichi,21st (day of the month),12,1
29日,nijuu-ku-nichi,29th (day of the month),12,1
25日,nijuu-go-nichi,25th (day of the month),12,1
23日,nijuu-san-nichi,23rd (day of the month),12,1
27日,nijuu-shichi-nichi,27th (day of the month),12,1
22日,nijuu-ni-nichi,22nd (day of the month),12,1
28日,nijuu-hachi-nichi,28th (day of the month),12,1
24日,nijuu-yokka,24th (day of the month),12,1
26日,nijuu-roku-nichi,26th (day of the month),12,1
日時,nichiji,date and time,12,1
日本語ボランティア教室,nihongo-borantia-kyooshitsu,Japanese-language volunteer class,12,1
入場無料,nyuujoo-muryoo,free entry,12,1
入場料,nyuujooryoo,entry fee,12,1
飲み物,nomimono,drink,12,1
バーベキュー,baabekyuu,barbecue,12,1
場所,basho,place,12,1
8月,hachi-gatsu,August,12,1
20日,hatsuka,20th (day of the month),12,1
広場,hiroba,square,12,1
フェスティバル,fesutibaru,festival,12,1
2日,futsuka,2nd (day of the month),12,1
プログラム,puroguramu,program,12,1
文化センター,bunka-sentaa,cultural center,12,1
ホール,hooru,hall,12,1
3日,mikka,3rd (day of the month),12,1
6日,muika,6th (day of the month),12,1
野外,yagai,outdoors,12,1
8日,yooka,8th (day of the month),12,1
4日,yokka,4th (day of the month),12,1
6月,roku-gatsu,June,12,1
あさって,asatte,day after tomorrow,12,2
明日,ashita,tomorrow,12,2
空手,karate,karate,12,2
今日,kyoo,today,12,2
今週,konshuu,this week,12,2
残念です,zannen desu,That's a shame.,12,2
試合,shiai,match / game,12,2
そうですね,soo desu ne,"Me, too. / I agree.　(used when the speaker is agreeing with the other person)",12,2
楽しみですね,tanoshimi desu ne,I'm looking forward to it.,12,2
パーティー,paatii,party,12,2
忘年会,boonenkai,year-end party,12,2
まだわかりません,mada wakarimasen,I don't know yet.,12,2
もちろん,mochiron,of course,12,2
来週,raishuu,next week,12,2
いっしょに,issho ni,together,12,3
男はつらいよ,otoko wa tsurai yo,"Otoko wa Tsurai yo (""It's Tough Being a Man"")",12,3
今度,kondo,next,12,3
今晩,konban,this evening,12,3
飲み会,nomikai,drinking party,12,3
ハイキング,haikingu,hiking,12,3
また今度,mata kondo,Maybe another time.,12,3
焼肉,yakiniku,yakiniku (Japanese grilled meat),12,3
いいね！,ii ne,That's great! ,12,4
ぐすん,gusun,Sniff.,12,4
残念,zannen,What a pity.,12,4
了解,ryookai,Okay.,12,4
駅,eki,train station,13,1
快速,kaisoku,express / rapid,13,1
各駅停車／各停,kakueki-teesha / kakutee,local (stopping at every station),13,1
空港,kuukoo,airport,13,1
この,kono,this ～,13,1
先,saki,ahead,13,1
市民病院,shimin-byooin,community hospital,13,1
タクシー,takushii,taxi,13,1
地下鉄,chikatetsu,subway,13,1
次,tsugi,next,13,1
電車,densha,train,13,1
止まりません,tomarimasen,It does not stop there.,13,1
止まる／止まります,tomaru / tomarimasu,to stop,13,1
何番線,nan-bansen,which platform,13,1
～に乗ります,～ni norimasu,I will take ～.,13,1
乗ってください,notte kudasai,Please take ～.,13,1
乗る／乗ります,noru / norimasu,to take / to ride,13,1
バス,basu,bus,13,1
～番,～ban,number ～,13,1
～番線,～bansen,platform number ～ ,13,1
反対側,hantaigawa,opposite side,13,1
～番乗り場,～ban-noriba,stand number ～ / pier number ～ ,13,1
飛行機,hikooki,plane,13,1
船,fune,ship,13,1
お忘れ物のないよう、お降りください,"owasuremono no naiyoo, oori kudasai",Please make sure you don't forget anything when you get off. (polite expression),13,2
終点,shuuten,final stop,13,2
～線 　（武蔵山線）,～sen　(musashiyama-sen),～ Line　(e.g. Musashiyama Line),13,2
出口／お出口,deguchi / odeguchi,exit,13,2
乗り換え／お乗換え,norikae / onorikae ,transfer,13,2
はい、そうです,"hai, soo desu","Yes, that's right.",13,2
右側,migigawa,right side,13,2
雨の日,ame no hi,rainy days,13,3
歩いて,aruite,on foot,13,3
1時間,ichi-jikan,one hour,13,3
1時間半,ichi-jikan-han,1.5 hours,13,3
1分,ippun,1 minute,13,3
かかる／かかります,kakaru / kakarimasu,to take,13,3
9分,kyuu-fun,9 minutes,13,3
～ぐらい  （10分ぐらい）,～gurai　(juppun-gurai),around ～　(e.g. around 10 minutes),13,3
車,kuruma,car,13,3
50分,gojuppun,50 minutes,13,3
5分,go-fun,5 minutes,13,3
30分,sanjuppun,30 minutes,13,3
3分,san-pun,3 minutes,13,3
～時間,～jikan,～ hours,13,3
自転車,jitensha,bicycle,13,3
10分,juppun,10 minutes,13,3
大変ですね,taihen desu ne,That's tough.,13,3
どうやって,doo yatte,how,13,3
どのぐらい,donogurai,how long,13,3
7分,nana-fun,7 minutes,13,3
2時間,ni-jikan,two hours,13,3
20分,nijuppun,20 minutes,13,3
2分,ni-fun,2 minutes,13,3
バイク,baiku,motorcycle,13,3
8分,hachi-fun / happun,8 minutes,13,3
～分,～fun / pun,～ minutes (indicate the length of time),13,3
40分,yonjuppun,40 minutes,13,3
4分,yon-fun / yon-pun,4 minutes,13,3
6分,roppun,6 minutes,13,3
市場 　,ichiba,market,13,4
降りる／降ります,oriru / orimasu,to get off,13,4
市役所,shiyakusho,city hall,13,4
乗り換える／乗り換えます,norikaeru / norikaemasu,to transfer,13,4
乗る／乗ります,noru / norimasu,to take / to ride,13,4
バスセンター,basu-sentaa,bus center,13,4
～モール  （さくらモール）,～mooru  (sakura-mooru),～ mall　(e.g. Sakura Mall),13,4
エスカレーター,esukareetaa,escalator,13,5
エレベーター,erebeetaa,elevator,13,5
改札,kaisatsu,ticket gate,13,5
北口,kitaguchi,North Exit,13,5
タクシー乗り場,takushii-noriba,taxi stand,13,5
西口,nishiguchi,West Exit,13,5
バス乗り場,basu-noriba,bus stop,13,5
東口,higashiguchi,East Exit,13,5
待合室,machiaishitsu,waiting room,13,5
南口,minamiguchi,South Exit,13,5
あちら,achira,over there,14,1
あっち,acchi,over there (a casual way of saying あちら),14,1
ATM,eetiiemu,ATM (automated teller machine),14,1
奥,oku,inside,14,1
喫煙所,kitsuenjo,smoking room / smoking area,14,1
コインロッカー,koinrokkaa,coin-operated locker,14,1
コンビニ,konbini,convenience store,14,1
自動販売機,jidoohanbaiki,vending machine,14,1
すいません,suimasen,Sorry. (an informal way of saying すみません),14,1
ちょっと、わからないですね,"chotto, wakaranai desu ne",I don't really know.,14,1
トイレ,toire,toilet,14,1
飲み物,nomimono,drink,14,1
ビル,biru,building,14,1
インフォメーション,infomeeshon,information counter,14,2
上,ue,above,14,2
後ろ,ushiro,behind,14,2
エスカレーター,esukareetaa,escalator,14,2
改札,kaisatsu,ticket gate,14,2
下,shita,below,14,2
すぐ,sugu,immediately,14,2
そっち,socchi,there,14,2
中,naka,inside,14,2
前,mae,in front ,14,2
待っててください,mattete kudasai,Please wait there.,14,2
横,yoko,beside,14,2
わかった,wakatta,I understand. (a casual way of saying わかりました),14,2
新しい,atarashii,new,14,3
あれ,are,that,14,3
大きい,ookii,large,14,3
大きな,ookina,large ,14,3
お寺,otera,temple,14,3
川,kawa,river,14,3
きたない,kitanai,dirty,14,3
きれい（な）,kiree (na),clean,14,3
公園,kooen,park,14,3
静か（な）,shizuka (na),quiet,14,3
商店街,shootengai,shopping street,14,3
せまい,semai,cramped,14,3
そうだね,soo da ne,Yes. / I agree. (a casual way of saying そうですね),14,3
高い,takai,high,14,3
たくさん,takusan,lots of,14,3
建物,tatemono,building,14,3
小さい,chiisai,small,14,3
小さな,chiisana,small ,14,3
～でしょう？,～deshoo?,～ isn't it? (used when the speaker is looking for the other person's agreement),14,3
～ドーム　（札幌ドーム）,～doomu　(sapporo-doomu),～ Dome　(e.g. Sapporo Dome),14,3
通り,toori,street,14,3
にぎやか（な）,nigiyaka (na),lively,14,3
低い,hikui,low,14,3
広い,hiroi,spacious,14,3
古い,furui,old,14,3
見て,mite,Look at that!,14,3
野球場,yakyuujoo,baseball ground,14,3
有名（な）,yuumee (na),famous,14,3
受付時間,uketsuke-jikan,reception hours,14,4
営業時間,eegyoo-jikan,opening hours,14,4
営業中,eegyoochuu,open,14,4
危険,kiken,danger,14,4
銀行,ginkoo,bank,14,4
工事中,koojichuu,under construction,14,4
祭（日）,sai (jitsu),public holiday,14,4
酒,sake,liquor,14,4
祝（日）,shuku (jitsu),public holiday,14,4
準備中,junbichuu,opening soon,14,4
たばこ,tabako,tobacco / cigarette,14,4
注意,chuui,caution,14,4
通行止,tsuukoodome,road closed,14,4
定休日,teekyuubi,closed every ～,14,4
ディナー,dinaa,dinner,14,4
24時間営業,nijuu-yojikan-eegyoo,open 24 hours,14,4
年中無休,nenjuu-mukyuu,open year round,14,4
休,yasumi,closed,14,4
ランチ,ranchi,lunch,14,4
駅前,ekimae,in front of the station,15,1
懐中電灯,kaichuu-dentoo,torch,15,1
ココナッツミルク,kokonattsu-miruku,coconut milk,15,1
コンビニ,konbini,convenience store,15,1
ショッピングセンター,shoppingu-sentaa,shopping center,15,1
ショッピングモール,shoppingu-mooru,shopping mall,15,1
スーパー,suupaa,supermarket,15,1
洗濯ばさみ,sentaku-basami,clothes peg,15,1
デパート,depaato,department store,15,1
電池,denchi,battery,15,1
～とか,～toka,for example (used when giving an example),15,1
どこで買えますか？,doko de kaemasu ka?,where can I buy this?,15,1
ドラッグストア,doraggu-sutoa,drugstore,15,1
100円ショップ,hyaku-en-shoppu,100-yen shop,15,1
弁当箱／お弁当箱,bentoobako / obentoobako,lunchbox,15,1
ホームセンター,hoomu-sentaa,home improvement store,15,1
ほしい,hoshii,want,15,1
店／お店,mise / omise,store,15,1
浴衣,yukata,yukata (Japanese summer robe),15,1
インテリア,interia,interior furnishings,15,2
屋上駐車場,okujoo-chuushajoo,rooftop car park,15,2
おもちゃ,omocha,toys,15,2
～階,～kai,～ floor,15,2
家具,kagu,furniture,15,2
家電,kaden,household appliances,15,2
暮らし,kurashi,home,15,2
蛍光灯,keekootoo,fluorescent light,15,2
化粧品,keshoohin,cosmetics,15,2
酒,sake,liquor,15,2
雑貨,zakka,sundry goods,15,2
しょうゆ,shooyu,soy sauce,15,2
食品,shokuhin,food,15,2
食料品,shokuryoohin,food products,15,2
紳士,shinshi,men,15,2
靴,kutsu,shoes,15,2
スカート,sukaato,skirt,15,2
スポーツ用品,supootsu-yoohin,sporting goods,15,2
生活用品,seekatsu-yoohin,daily necessities,15,2
ダンベル,danberu,dumbbell,15,2
肌着,hadagi,underclothes,15,2
バッグ,baggu,bags,15,2
服,fuku,clothing,15,2
服飾雑貨,fukushoku-zakka,fashion accessories,15,2
婦人,fujin,women,15,2
フロア,furoa,floor,15,2
文房具,bunboogu,stationery,15,2
銘店,meeten,well-known store,15,2
メンズ,menzu,men's,15,2
レディース,rediisu,women's,15,2
1階,ikkai,first floor,15,3
延長コード,enchoo-koodo,extension cord,15,3
カメラ,kamera,camera,15,3
9階,kyuu-kai,ninth floor,15,3
ご案内します／ご案内いたします,goannai shimasu / goannai itashimasu,I'll show you. (polite expression),15,3
5階,go-kai,fifth floor,15,3
こちら,kochira,"here, this way",15,3
3階,san-kai / san-gai,third floor,15,3
10階,jukkai,tenth floor,15,3
スマホケース,sumaho-keesu,smartphone case,15,3
～でございます,～de gozaimasu,is (polite expression for です),15,3
ドライヤー,doraiyaa,hair-dryer,15,3
7階,nana-kai,seventh floor,15,3
何階,nan-kai / nan-gai,what floor,15,3
2階,ni-kai,second floor,15,3
～になります,～ni narimasu,is (polite expression for です),15,3
8階,hachi-kai / hakkai,eighth floor,15,3
4階,yon-kai,fourth floor,15,3
6階,rokkai,sixth floor,15,3
おしゃれ（な）,oshare (na),stylish,15,4
おもしろい,omoshiroi,interesting,15,4
傘,kasa,umbrella,15,4
かっこいい,kakkoii,cool,15,4
かばん,kaban,bag,15,4
かわいい,kawaii,cute,15,4
きれい（な）,kiree (na),pretty / beautiful,15,4
くつ,kutsu,shoes,15,4
くつ下,kutsushita,socks,15,4
コート,kooto,coat,15,4
ジャケット,jaketto,jacket,15,4
シャツ,shatsu,shirt,15,4
すてき（な）,suteki (na),nice / wonderful,15,4
ズボン,zubon,trousers,15,4
それに,soreni,besides / in addition,15,4
高い,takai,expensive,15,4
Tシャツ,tii-shatsu,T-shirt,15,4
ネクタイ,nekutai,necktie,15,4
バッグ,baggu,bag,15,4
パンツ,pantsu,pants,15,4
変（な）,hen (na),strange,15,4
帽子,booshi,hat　/ cap,15,4
本当！,hontoo !,It really is!,15,4
安い,yasui,cheap,15,4
ワンピース,wanpiisu,dress,15,4
入口,iriguchi,entrance,15,5
お客様,okyakusama,customer (polite expression),15,5
押す／押,osu,to push,15,5
下り,kudari,down,15,5
化粧室,keshooshitsu,restroom,15,5
出口,deguchi,exit,15,5
閉じる／閉,tojiru,to close,15,5
上り,nobori,up,15,5
引く／引,hiku,to pull,15,5
非常口,hijooguchi,emergency exit,15,5
開く／開,hiraku,to open,15,5
いくら,ikura,how much (asking price),16,1
1円,ichi-en,1 yen,16,1
"10,000",ichiman,ten thousand,16,1
"10,000円",ichiman-en,"10,000 yen",16,1
"9,000",kyuusen,nine thousand,16,1
"9,000円",kyuusen-en,"9,000 yen",16,1
900,kyuuhyaku,nine hundred,16,1
900円,kyuuhyaku-en,900 yen,16,1
5円,go-en,5 yen,16,1
50円,gojuu-en,50 yen,16,1
"5,000",gosen,five thousand,16,1
"5,000円",gosen-en,"5,000 yen",16,1
500,gohyaku,five hundred,16,1
500円,gohyaku-en,500 yen,16,1
"3,000",sanzen,three thousand,16,1
"3,000円",sanzen-en,"3,000 yen",16,1
300,sanbyaku,three hundred,16,1
300円,sanbyaku-en,300 yen,16,1
10円,juu-en,10 yen,16,1
"1,000",sen,one thousand,16,1
"1,000円",sen-en,"1,000 yen",16,1
"7,000",nanasen,seven thousand,16,1
"7,000円",nanasen-en,"7,000 yen",16,1
700,nanahyaku,seven hundred,16,1
700円,nanahyaku-en,700 yen,16,1
"2,000",nisen,two thousand,16,1
"2,000円",nisen-en,"2,000 yen",16,1
200,nihyaku,two hundred,16,1
200円,nihyaku-en,200 yen,16,1
"8,000",hassen,eight thousand,16,1
"8,000円",hassen-en,"8,000 yen",16,1
800,happyaku,eight hundred,16,1
800円,happyaku-en,800 yen,16,1
100,hyaku,one hundred,16,1
100円,hyaku-en,100 yen,16,1
"4,000",yonsen,four thousand,16,1
"4,000円",yonsen-en,"4,000 yen",16,1
400,yonhyaku,four hundred,16,1
400円,yonhyaku-en,400 yen,16,1
"6,000",rokusen,six thousand,16,1
"6,000円",rokusen-en,"6,000 yen",16,1
600,roppyaku,six hundred,16,1
600円,roppyaku-en,600 yen,16,1
あの,ano,that ～ (away from both speaker and listener) ,16,2
あれ,are,that (away from both speaker and listener),16,2
いいです,ii desu,"No, thank you. (used to refuse something, the same as けっこうです)",16,2
お菓子,okashi,sweets,16,2
カレンダー,karendaa,calendar,16,2
この,kono,this ～ (close to the speaker) ,16,2
これ,kore,this (close to the speaker) ,16,2
その,sono,that ～ (close to the listener) ,16,2
それ,sore,that (close to the listener) ,16,2
Tシャツ,tii-shatsu,T-shirt,16,2
招き猫,manekineko,maneki-neko (lucky cat figurine),16,2
1個,ikko,1 item,16,3
梅,ume,ume (pickled plum),16,3
かしこまりました,kashikomarimashita,Certainly. (polite expression),16,3
9個,kyuu-ko,9 items,16,3
～g,～guramu,～ g,16,3
～個,～ko,～ items,16,3
5個,go-ko,5 items,16,3
コロッケ,korokke,korokke (deep-fried side dish similar to croquettes),16,3
昆布,konbu,kombu (kelp),16,3
3個,san-ko,3 items,16,3
シュウマイ,shuumai,shumai (Chinese meat dumpling),16,3
10個,jukko,10 items,16,3
～ずつ,～zutsu,～ each,16,3
たい焼き,taiyaki,taiyaki (confectionery shaped like a grilled sea bream),16,3
たらこ,tarako,tarako (cod roe),16,3
チーズケーキ,chiizu-keeki,cheesecake,16,3
チョコレートケーキ,chokoreeto-keeki,chocolate cake,16,3
7個,nana-ko,7 items,16,3
何個,nan-ko,how many (items),16,3
2個,ni-ko,2 items,16,3
8個,hachi-ko / hakko,8 items,16,3
ひき肉,hikiniku,minced meat,16,3
4個,yon-ko,4 items,16,3
6個,rokko,6 items,16,3
温める／温めます,atattameru / atatamemasu,to warm up,16,4
ありがとうございました,arigatoo gozaimashita,Thank you very much. (used to say thank you at the end),16,4
Edy,edii,Edy (electronic payment card）,16,4
お会計、～になります,"okaikee, ～ni narimasu",The total amount is ～. (polite expression),16,4
お次の方,otsugi no kata,"Next, please. (polite expression)",16,4
おつけしますか？,otsuke-shimasu ka?,Shall I add ～ ? (polite expression),16,4
おはし,ohashi,chopsticks,16,4
クレジットカード,kurejitto-kaado,credit card,16,4
こちら,kochira,this (polite expression),16,4
Suica,suika,"Suica (a pre-paid card used to pay transportation fees, such as train and bus fares, and for shopping)",16,4
ストロー,sutoroo,straw,16,4
だいじょうぶです,daijoobu desu,That's all right. (used when refusing something),16,4
タッチしてください,tacchi-shite kudasai,Tap your card here please.,16,4
タッチする／タッチします,tacchi-suru / tacchi-shimasu,to tap / touch,16,4
～でお願いします,～de onegaishimasu,"With ～, please. ",16,4
～は、どうしますか？,"～wa, doo shimasu ka?",And what about ～?,16,4
フォーク,fooku,fork,16,4
袋,fukuro,bag,16,4
PayPay,peipei,PayPay (QR-code-based electronic payment method),16,4
苺ショートケーキ,ichigo-shootokeeki,strawberry shortcake,16,5
～円均一　（50円均一）,～en-kin'itsu  (gojuu-en-kin'itsu),everything at ～ yen　(e.g. everything at 50 yen),16,5
～円引　（50円引）,～en-biki　(gojuu-en-biki),～ yen off　(e.g. 50 yen off),16,5
応援,ooen,support,16,5
小型,kogata,compact,16,5
国産銘柄鶏胸肉,kokusan-meegara-tori-muneniku,famous home-grown chicken breast,16,5
さらに,sarani,further,16,5
商品,shoohin,product,16,5
税込,zeekomi,including tax,16,5
税抜,zeenuki,excluding tax,16,5
セール,seeru,sale,16,5
全品,zenpin,all items,16,5
値下価格,nesage-kakaku,discounted price,16,5
～％引　（10％引）,～paasento-biki　(juppaasento-biki),～ % off　(e.g. 10% off),16,5
半額,hangaku,half price,16,5
一人暮らし,hitorigurashi,living alone,16,5
表示価格より,hyooji-kakaku yori,from the list price,16,5
ポイントサービス,pointo-saabisu,reward points,16,5
本日,honjitsu,today,16,5
レジにて,reji nite,at the cash register,16,5
若鶏,wakadori,spring chicken,16,5
ワゴン,wagon,cart,16,5
～割引  （二割引き）,～waribiki　(ni-waribiki),～ × 10% off　(e.g. 20% off),16,5
運動する／運動します,undoo-suru / undoo-shimasu,to exercise,17,1
オーケストラ,ookesutora,orchestra,17,1
買う／買います,kau / kaimasu,to buy,17,1
家族,kazoku,family,17,1
昨日,kinoo,yesterday,17,1
コンサート,konsaato,concert,17,1
ジム,jimu,gym,17,1
週末,shuumatsu,weekend,17,1
掃除する／掃除します,sooji-suru / sooji-shimasu,to clean,17,1
土日,donichi,Saturday and Sunday,17,1
何も ,nanimo,nothing,17,1
ネットで,netto de,online,17,1
寝る／寝ます,neru / nemasu,to sleep,17,1
飲みに行く／飲みに行きます,nomi ni iku / nomi ni ikimasu,to go drinking,17,1
話す／話します,hanasu / hanashimasu,to talk,17,1
服,fuku,clothing,17,1
休み,yasumi,day off,17,1
ゆっくりする／ゆっくりします,yukkuri-suru / yukkuri-shimasu,to relax,17,1
いい,ii,good,17,2
一日中,ichinichijuu,all day long,17,2
いまいち（な）,imaichi (na),not so good,17,2
おもしろい,omoshiroi,interesting,17,2
国際フェスティバル,kokusai-fesutibaru,international festival,17,2
ゴジラ,gojira,Godzilla,17,2
すばらしい,subarashii,wonderful,17,2
洗濯,sentaku,laundry,17,2
掃除,sooji,cleaning,17,2
大変（な）,taihen (na),awful / tough,17,2
楽しい,tanoshii,fun,17,2
つまらない,tsumaranai,boring,17,2
どこにも,dokonimo,nowhere,17,2
勉強,benkyoo,study,17,2
まあまあ（な）,maamaa (na),average,17,2
よかった（です）,yokatta (desu),It was good.,17,2
おいしい,oishii,delicious,17,3
お祝い,oiwai,celebration,17,3
多い,ooi,many,17,3
家族で,kazoku de,with family,17,3
気持ちいい,kimochi-ii,refreshing,17,3
気持ちよかった（です）,kimochi-yokatta (desu),It was refreshing.,17,3
クラゲ,kurage,jellyfish,17,3
元気（な）,genki (na),healthy,17,3
コスモス,kosumosu,cosmos,17,3
水族館,suizokukan,aquarium,17,3
寿司屋,sushiya,sushi restaurant,17,3
そして,soshite,then,17,3
花,hana,flower,17,3
二人で,futari de,two people,17,3
ペンギン,pengin,penguin,17,3
まだまだ,mada mada,still,17,3
いつでも,itsudemo,anytime,17,4
一般,ippan,general,17,4
営業時間,eegyoo-jikan,opening hours,17,4
延長料金,enchoo-ryookin,extension fee,17,4
大人,otona / dainin,adult,17,4
お1人様,ohitorisama,one person (polite expression),17,4
鍵付き,kagi-tsuki,with key,17,4
完全（な）,kanzen (na),completely,17,4
基本料金,kihon-ryookin,basic fee,17,4
休業日,kyuugyoobi,days closed,17,4
高校生,kookoosee,high school student,17,4
個室,koshitsu,private room,17,4
古総湯,Kosooyu,"Kosoyu public bathhouse (a communal bathhouse at Yamashiro Onsen, Ishikawa Prefecture)",17,4
～毎に　（10分毎に）,～goto ni  (juppun-goto ni),per ～　(e.g. per 10 minutes),17,4
～歳以上　（十二歳以上）,～sai-ijoo　(juuni-sai-ijoo),aged ～ or above　(e.g. aged 12 or above),17,4
正午,shoogo,noon,17,4
小・中学生,shoo-chuugakusee,elementary & junior high school student,17,4
小人,shoonin,child,17,4
全品,zenpin,all items,17,4
第～▲曜日　（第四水曜日）,dai～▲yoobi　(dai-yon-suiyoobi),～ (day of the week) of the month　(e.g. fourth Wednesday of the month),17,4
大学生,daigakusee,university student,17,4
食べ放題,tabe-hoodai,all you can eat,17,4
チケット,chiketto,ticket,17,4
中人,chuunin,student,17,4
～付き  （飲み放題付き）,～tsuki　（nomi-hoodai-tsuki）,with ～　(e.g. with all-you-can-drink),17,4
つり銭のお取り忘れに注意！,tsurisen no otoriwasure ni chuui !,Please remember to take your change!,17,4
ナイト,naito,night,17,4
入館券,nyuukanken,admission ticket,17,4
入浴,nyuuyoku,bathing,17,4
飲み放題,nomi-hoodai,all you can drink,17,4
パック,pakku,package,17,4
発売中,hatsubaichuu,in operation,17,4
ブース,buusu,booth,17,4
席,seki,seat,17,4
プラス,purasu,plus,17,4
毎月,maitsuki,every month,17,4
～名様より 　（2名様より）,～mee-sama yori　（ni-mee-sama yori),～ persons or more (polite expression) (e.g. 2 persons or more),17,4
料金,ryookin,fee,17,4
料金システム,ryookin-shisutemu,pricing system,17,4
着きました,tsukimashita,I have arrived home.,17,5
着く／着きます,tsuku / tsukimasu,to arrive,17,5
はじめて,hajimete,for the first time,17,5
また,mata,again,17,5
会う／会います,au / aimasu,to meet,18,1
行く／行きます,iku / ikimasu,to go,18,1
池袋,ikebukuro,Ikebukuro,18,1
うち,uchi,home,18,1
買う／買います,kau / kaimasu,to buy,18,1
ゴールデンウィーク,gooruden-wiiku,Golden Week,18,1
炊飯器,suihanki,rice-cooker,18,1
どこか,dokoka,somewhere,18,1
友だち,tomodachi,friend,18,1
夏休み,natsuyasumi,summer vacation,18,1
広島,hiroshima,Hiroshima,18,1
もうすぐ,moosugu,soon / almost,18,1
予定,yotee,plans,18,1
旅行する／旅行します,ryokoo-suru / ryokoo-shimasu,to travel,18,1
連休,renkyuu,holiday period,18,1
あと,ato,and / also,18,2
行って,itte,You should go.,18,2
お土産,omiyage,souvenir,18,2
温泉,onsen,hot spring,18,2
君の名は。,kimi no na wa,"Kimi no Na wa (""Your Name"")",18,2
京都,kyooto,Kyoto,18,2
新幹線,shinkansen,Shinkansen (bullet train),18,2
神社,jinja,shrine,18,2
新宿,shinjuku,Shinjuku,18,2
須賀神社,suga-jinja,Suga Shrine,18,2
ぜひ,zehi,definitely,18,2
食べる／食べます,taberu / tabemasu,to eat,18,2
ディズニーランド,dizunii-rando,Disneyland,18,2
どうして,dooshite,why,18,2
ドラえもん,doraemon,Doraemon,18,2
どら焼き,dorayaki,dorayaki (cake with sweet bean paste),18,2
登る／登ります,noboru / noborimasu,to climb,18,2
入る／入ります,hairu / hairimasu,to enter,18,2
富士山,fujisan,Mt. Fuji,18,2
ほかに,hoka ni,besides that,18,2
見る／見ます,miru / mimasu,to watch,18,2
雪,yuki,snow,18,2
アクティビティ,akutibiti,activity,18,3
気分,kibun,feeling,18,3
写真,shashin,photograph,18,3
チェックイン,chekku-in,check-in,18,3
動画,dooga,video,18,3
友達をタグ付け,tomodachi o tagu-zuke,tagging a friend,18,3
景色,keshiki,scenery,18,4
それから,sorekara,and then,18,4
それに,soreni,besides / in addition,18,4
それは、よかったですね,"sore wa, yokatta desu ne",That sounds good.,18,4
でも,demo,but,18,4
鶏,tori,chicken,18,4
別府温泉,beppu-onsen,Beppu Onsen (hot spring area),18,4
露天風呂,roten-buro,open-air bath,18,4
